T_insertion	T_quick	T_merge	T_heap	T_combination
9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07	1.9999999949504854e-06	9.999999974752427e-07
9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07	1.9999999949504854e-06	9.999999974752427e-07
3.100000003541936e-05	3.999999989900971e-06	3.999999989900971e-06	1.9999999949504854e-06	2.999999992425728e-06
1.9999999949504854e-06	1.9999999949504854e-06	9.999999974752427e-07	1.9999999949504854e-06	9.999999974752427e-07
9.999999974752427e-07	1.9999999949504854e-06	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07
9.999999974752427e-07	1.9999999949504854e-06	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07
9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07	1.9999999949504854e-06
5.999999984851456e-06	9.999999974752427e-07	9.999999974752427e-07	3.000000106112566e-06	1.9999999949504854e-06
9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07	1.9999999949504854e-06	9.999999974752427e-07
9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07
1.9999999949504854e-06	9.999999974752427e-07	9.999999974752427e-07	1.9999999949504854e-06	1.9999999949504854e-06
2.999999992425728e-06	9.999999974752427e-07	9.999999974752427e-07	2.999999992425728e-06	1.9999999949504854e-06
4.9999999873762135e-06	1.9999999949504854e-06	1.9999999949504854e-06	1.9999999949504854e-06	3.999999989900971e-06
1.9999999949504854e-06	9.999999974752427e-07	1.9999999949504854e-06	1.9999999949504854e-06	9.999999974752427e-07
9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07
1.9999999949504854e-06	9.999999974752427e-07	2.000000108637323e-06	9.999999974752427e-07	9.999999974752427e-07
6.999999982326699e-06	9.999999974752427e-07	9.999999974752427e-07	3.000000106112566e-06	1.9999999949504854e-06
5.999999984851456e-06	4.0000001035878086e-06	2.999999992425728e-06	3.999999989900971e-06	1.9999999949504854e-06
9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07
1.9999999949504854e-06	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07
9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07	1.9999999949504854e-06	9.999999974752427e-07
2.000000108637323e-06	1.9999999949504854e-06	9.999999974752427e-07	1.9999999949504854e-06	9.999999974752427e-07
5.999999984851456e-06	1.9999999949504854e-06	9.999999974752427e-07	2.999999992425728e-06	1.9999999949504854e-06
1.9999999949504854e-06	9.999999974752427e-07	9.999999974752427e-07	1.9999999949504854e-06	9.999999974752427e-07
9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07
1.9999999949504854e-06	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07	1.0000001111620804e-06
1.9999999949504854e-06	1.9999999949504854e-06	9.999999974752427e-07	1.9999999949504854e-06	1.9999999949504854e-06
3.999999989900971e-06	9.999999974752427e-07	1.9999999949504854e-06	2.999999992425728e-06	1.9999999949504854e-06
1.9999999949504854e-06	9.999999974752427e-07	9.999999974752427e-07	1.9999999949504854e-06	9.999999974752427e-07
1.9999999949504854e-06	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07
9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07	1.9999999949504854e-06	9.999999974752427e-07
9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07
5.999999984851456e-06	2.999999992425728e-06	2.999999992425728e-06	1.9999999949504854e-06	2.999999992425728e-06
4.9999999873762135e-06	1.9999999949504854e-06	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07
3.999999989900971e-06	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07
2.999999992425728e-06	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07
1.9999999949504854e-06	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07	1.9999999949504854e-06
6.000000098538294e-06	9.999999974752427e-07	1.9999999949504854e-06	4.0000001035878086e-06	9.999999974752427e-07
