T_insertion	T_quick	T_merge	T_heap
8.999999977277184e-06	3.999999989900971e-06	9.000000034120603e-06	6.999999982326699e-06
6.999999982326699e-06	1.9999999949504854e-06	3.999999989900971e-06	5.999999984851456e-06
8.999999977277184e-06	9.999999974752427e-07	4.00000004674439e-06	8.00000003664536e-06
7.999999979801942e-06	6.999999982326699e-06	7.000000039170118e-06	7.000000039170118e-06
6.999999982326699e-06	9.999999974752427e-07	9.999999974752427e-07	1.1999999969702912e-05
8.00000003664536e-06	2.999999992425728e-06	2.999999992425728e-06	6.000000041694875e-06
6.999999982326699e-06	2.0000000517939043e-06	9.999999974752427e-07	7.999999979801942e-06
7.999999979801942e-06	4.9999999873762135e-06	1.2999999967178155e-05	5.999999984851456e-06
6.999999982326699e-06	2.999999992425728e-06	1.0000000543186616e-06	6.999999982326699e-06
6.999999982326699e-06	5.999999984851456e-06	3.000000049269147e-06	5.999999984851456e-06
9.000000034120603e-06	3.90000000152213e-05	5.999999984851456e-06	6.999999982326699e-06
7.000000039170118e-06	0.0	4.9999999873762135e-06	6.000000041694875e-06
8.00000003664536e-06	9.999999974752427e-07	1.9999999949504854e-06	4.9999999873762135e-06
6.999999982326699e-06	9.999999974752427e-07	4.9999999873762135e-06	7.000000039170118e-06
4.999999998744897e-05	3.999999989900971e-06	9.999999974752427e-07	6.999999982326699e-06
6.999999982326699e-06	3.999999989900971e-06	1.9999999949504854e-06	3.999999989900971e-06
7.000000039170118e-06	9.999999974752427e-07	9.999999974752427e-07	7.999999979801942e-06
7.000000039170118e-06	5.999999984851456e-06	4.9999999873762135e-06	4.400000000259752e-05
8.999999977277184e-06	9.999999974752427e-07	3.999999989900971e-06	6.999999982326699e-06
7.999999979801942e-06	2.999999992425728e-06	9.999999974752427e-07	2.999999992425728e-06
6.999999982326699e-06	1.9999999949504854e-06	3.000000049269147e-06	6.999999982326699e-06
8.00000003664536e-06	6.999999982326699e-06	1.9999999949504854e-06	9.000000034120603e-06
6.999999982326699e-06	1.9999999949504854e-06	6.000000041694875e-06	4.9999999873762135e-06
6.999999982326699e-06	9.999999974752427e-07	2.999999992425728e-06	7.000000039170118e-06
6.999999982326699e-06	1.9999999949504854e-06	3.999999989900971e-06	6.999999982326699e-06
8.999999977277184e-06	4.9999999873762135e-06	6.000000041694875e-06	6.999999982326699e-06
7.999999979801942e-06	2.999999992425728e-06	6.999999982326699e-06	7.000000039170118e-06
5.999999984851456e-06	3.999999989900971e-06	2.999999992425728e-06	5.999999984851456e-06
7.000000039170118e-06	1.9999999949504854e-06	4.00000004674439e-06	5.000000044219632e-06
7.000000039170118e-06	1.9999999949504854e-06	1.9999999949504854e-06	5.999999984851456e-06
9.000000034120603e-06	5.000000044219632e-06	0.0	4.9999999873762135e-06
6.999999982326699e-06	4.9999999873762135e-06	4.00000004674439e-06	3.999999989900971e-06
5.999999984851456e-06	0.0	9.999999974752427e-07	5.999999984851456e-06
7.000000039170118e-06	5.999999984851456e-06	5.999999984851456e-06	6.000000041694875e-06
4.9999999873762135e-06	2.999999992425728e-06	2.999999992425728e-06	4.9999999873762135e-06
5.999999984851456e-06	0.0	4.00000004674439e-06	7.000000039170118e-06
7.000000039170118e-06	2.999999992425728e-06	1.9999999949504854e-06	6.999999982326699e-06
8.00000003664536e-06	0.0	6.000000041694875e-06	6.999999982326699e-06
1.900000000887303e-05	6.000000041694875e-06	1.9999999949504854e-06	4.9999999873762135e-06
8.999999977277184e-06	1.9999999949504854e-06	3.999999989900971e-06	5.999999984851456e-06
6.999999982326699e-06	1.9999999949504854e-06	1.9999999949504854e-06	5.999999984851456e-06
7.999999979801942e-06	4.9999999873762135e-06	3.999999989900971e-06	9.000000034120603e-06
3.999999989900971e-06	2.0000000517939043e-06	5.999999984851456e-06	4.9999999873762135e-06
6.999999982326699e-06	4.9999999873762135e-06	9.999999974752427e-07	3.799999996090264e-05
7.999999979801942e-06	1.9999999949504854e-06	6.000000041694875e-06	6.999999982326699e-06
8.999999977277184e-06	6.999999982326699e-06	5.999999984851456e-06	6.999999982326699e-06
6.999999982326699e-06	1.8000000011397788e-05	1.9999999949504854e-06	1.2999999967178155e-05
6.999999982326699e-06	4.400000000259752e-05	5.000000044219632e-06	9.999999974752427e-06
1.4000000021496817e-05	3.999999989900971e-06	9.000000034120603e-06	8.00000003664536e-06
6.000000041694875e-06	0.0	1.9999999949504854e-06	2.999999992425728e-06
8.999999977277184e-06	9.999999974752427e-07	0.0	7.000000039170118e-06
6.999999982326699e-06	9.999999974752427e-07	3.999999989900971e-06	1.1000000029071089e-05
7.999999979801942e-06	2.999999992425728e-06	4.00000004674439e-06	4.9999999873762135e-06
5.999999984851456e-06	1.9999999949504854e-06	1.9999999949504854e-06	6.999999982326699e-06
4.5999999997548e-05	7.999999979801942e-06	7.000000039170118e-06	5.999999984851456e-06
8.00000003664536e-06	3.999999989900971e-06	9.999999974752427e-07	6.999999982326699e-06
7.999999979801942e-06	5.999999984851456e-06	4.00000004674439e-06	3.999999989900971e-06
5.999999984851456e-06	9.999999974752427e-07	5.000000044219632e-06	6.000000041694875e-06
7.999999979801942e-06	3.999999989900971e-06	1.9999999949504854e-06	5.999999984851456e-06
6.999999982326699e-06	5.999999984851456e-06	1.2000000026546331e-05	7.999999979801942e-06
8.999999977277184e-06	1.2999999967178155e-05	3.999999989900971e-06	2.4999999993724487e-05
7.999999979801942e-06	3.999999989900971e-06	4.9999999873762135e-06	5.000000044219632e-06
6.000000041694875e-06	1.9999999949504854e-06	2.999999992425728e-06	6.000000041694875e-06
6.999999982326699e-06	9.999999974752427e-07	9.999999974752427e-07	7.999999979801942e-06
8.00000003664536e-06	1.9999999949504854e-06	5.999999984851456e-06	6.999999982326699e-06
5.999999984851456e-06	2.999999992425728e-06	3.999999989900971e-06	6.000000041694875e-06
8.00000003664536e-06	3.000000049269147e-06	1.9999999949504854e-06	6.000000041694875e-06
7.999999979801942e-06	3.999999989900971e-06	5.999999984851456e-06	6.999999982326699e-06
5.999999984851456e-06	9.999999974752427e-07	7.000000039170118e-06	6.000000041694875e-06
2.0000000006348273e-05	1.9999999949504854e-06	6.000000041694875e-06	6.999999982326699e-06
7.000000039170118e-06	2.999999992425728e-06	6.000000041694875e-06	7.999999979801942e-06
6.999999982326699e-06	4.9999999873762135e-06	1.099999997222767e-05	5.999999984851456e-06
5.999999984851456e-06	1.9999999949504854e-06	1.9999999949504854e-06	4.9999999873762135e-06
9.000000034120603e-06	4.9999999873762135e-06	4.00000004674439e-06	6.999999982326699e-06
6.999999982326699e-06	2.999999992425728e-06	6.999999982326699e-06	6.999999982326699e-06
7.000000039170118e-06	4.9999999873762135e-06	4.9999999873762135e-06	5.999999984851456e-06
5.999999984851456e-06	2.999999992425728e-06	3.999999989900971e-06	1.1000000029071089e-05
5.999999984851456e-06	9.999999974752427e-07	0.0	5.999999984851456e-06
7.999999979801942e-06	5.000000044219632e-06	9.999999974752427e-07	6.000000041694875e-06
7.000000039170118e-06	1.9999999949504854e-06	2.0000000517939043e-06	6.999999982326699e-06
6.999999982326699e-06	9.999999974752427e-07	0.0	5.999999984851456e-06
5.999999984851456e-06	2.0000000517939043e-06	0.0	4.9999999873762135e-06
6.999999982326699e-06	1.9999999949504854e-06	1.9999999949504854e-06	2.999999992425728e-06
9.000000034120603e-06	9.999999974752427e-07	9.999999974752427e-07	5.999999984851456e-06
5.999999984851456e-06	1.9999999949504854e-06	6.999999982326699e-06	5.999999984851456e-06
7.000000039170118e-06	3.999999989900971e-06	1.9999999949504854e-06	5.999999984851456e-06
7.999999979801942e-06	9.999999974752427e-07	5.999999984851456e-06	6.999999982326699e-06
7.999999979801942e-06	5.999999984851456e-06	7.000000039170118e-06	7.000000039170118e-06
8.00000003664536e-06	4.9999999873762135e-06	9.999999974752427e-07	5.000000044219632e-06
1.8000000011397788e-05	6.999999982326699e-06	2.599999999119973e-05	8.999999977277184e-06
7.999999979801942e-06	2.8999999983625457e-05	2.999999992425728e-06	8.00000003664536e-06
8.999999977277184e-06	7.000000039170118e-06	1.8000000011397788e-05	5.999999984851456e-06
3.2000000032894604e-05	6.999999982326699e-06	8.999999977277184e-06	1.6000000016447302e-05
1.499999996212864e-05	4.9999999873762135e-06	8.999999977277184e-06	5.999999984851456e-06
9.000000034120603e-06	1.899999995202961e-05	7.000000039170118e-06	7.999999979801942e-06
5.999999984851456e-06	4.9999999873762135e-06	7.999999979801942e-06	5.999999984851456e-06
8.00000003664536e-06	3.999999989900971e-06	6.999999982326699e-06	1.099999997222767e-05
8.999999977277184e-06	6.999999982326699e-06	4.9999999873762135e-06	1.2999999967178155e-05
9.000000034120603e-06	7.000000039170118e-06	7.000000039170118e-06	7.999999979801942e-06
3.800000001774606e-05	5.999999984851456e-06	9.999999974752427e-07	5.999999984851456e-06
9.000000034120603e-06	9.999999974752427e-07	9.999999974752427e-07	7.000000039170118e-06
1.0000000031595846e-05	6.000000041694875e-06	7.000000039170118e-06	7.999999979801942e-06
