T_insertion	T_quick	T_merge	T_heap	T_combination
2.999999992425728e-06	1.9999999949504854e-06	9.999999974752427e-07	1.9999999949504854e-06	1.9999999949504854e-06
9.999999974752427e-07	1.9999999949504854e-06	9.999999974752427e-07	9.999999974752427e-07	2.0000000517939043e-06
1.9999999949504854e-06	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07
1.9999999949504854e-06	9.999999974752427e-07	1.9999999949504854e-06	9.999999974752427e-07	9.999999974752427e-07
5.999999984851456e-06	3.999999989900971e-06	3.999999989900971e-06	3.000000106112566e-06	9.999999974752427e-07
9.999999974752427e-07	9.999999974752427e-07	1.9999999949504854e-06	9.999999974752427e-07	9.999999974752427e-07
9.999999974752427e-07	1.9999999949504854e-06	9.999999974752427e-07	1.9999999949504854e-06	9.999999974752427e-07
2.999999992425728e-06	9.999999974752427e-07	1.9999999949504854e-06	9.999999974752427e-07	1.9999999949504854e-06
1.9999999949504854e-06	1.9999999949504854e-06	1.9999999949504854e-06	1.9999999949504854e-06	1.9999999949504854e-06
5.999999984851456e-06	1.9999999949504854e-06	1.9999999949504854e-06	2.999999992425728e-06	1.9999999949504854e-06
1.9999999949504854e-06	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07
1.9999999949504854e-06	9.999999974752427e-07	2.000000108637323e-06	9.999999974752427e-07	9.999999974752427e-07
9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07
4.9999999873762135e-06	2.999999992425728e-06	1.9999999949504854e-06	4.9999999873762135e-06	9.999999974752427e-07
6.999999982326699e-06	3.999999989900971e-06	2.999999992425728e-06	4.0000001035878086e-06	4.9999999873762135e-06
9.999999974752427e-07	1.9999999949504854e-06	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07
9.999999974752427e-07	1.9999999949504854e-06	9.999999974752427e-07	1.9999999949504854e-06	9.999999974752427e-07
9.999999974752427e-07	1.9999999949504854e-06	9.999999974752427e-07	1.9999999949504854e-06	9.999999974752427e-07
2.999999992425728e-06	9.999999974752427e-07	1.9999999949504854e-06	2.999999992425728e-06	1.9999999949504854e-06
6.999999982326699e-06	9.999999974752427e-07	1.9999999949504854e-06	2.999999992425728e-06	9.999999974752427e-07
2.999999992425728e-06	1.9999999949504854e-06	1.9999999949504854e-06	9.999999974752427e-07	1.9999999949504854e-06
9.999999974752427e-07	1.9999999949504854e-06	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07
1.9999999949504854e-06	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07	1.9999999949504854e-06
9.999999974752427e-07	1.9999999949504854e-06	9.999999974752427e-07	9.999999974752427e-07	1.9999999949504854e-06
5.999999984851456e-06	1.9999999949504854e-06	3.999999989900971e-06	2.999999992425728e-06	3.000000106112566e-06
1.9999999949504854e-06	9.999999974752427e-07	9.999999974752427e-07	1.9999999949504854e-06	9.999999974752427e-07
9.999999974752427e-07	1.9999999949504854e-06	1.9999999949504854e-06	9.999999974752427e-07	1.9999999949504854e-06
9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07
1.9999999949504854e-06	9.999999974752427e-07	1.9999999949504854e-06	9.999999974752427e-07	9.999999974752427e-07
3.999999989900971e-06	3.000000106112566e-06	1.9999999949504854e-06	2.999999992425728e-06	9.999999974752427e-07
9.999999974752427e-07	1.9999999949504854e-06	1.9999999949504854e-06	1.9999999949504854e-06	9.999999974752427e-07
9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07	1.9999999949504854e-06
1.9999999949504854e-06	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07	1.9999999949504854e-06
1.9999999949504854e-06	9.999999974752427e-07	9.999999974752427e-07	1.9999999949504854e-06	1.9999999949504854e-06
4.9999999873762135e-06	1.9999999949504854e-06	9.999999974752427e-07	1.9999999949504854e-06	2.999999992425728e-06
9.999999974752427e-07	9.999999974752427e-07	1.9999999949504854e-06	1.9999999949504854e-06	1.9999999949504854e-06
9.999999974752427e-07	1.9999999949504854e-06	2.999999992425728e-06	1.9999999949504854e-06	9.999999974752427e-07
1.9999999949504854e-06	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07
3.999999989900971e-06	1.9999999949504854e-06	9.999999974752427e-07	1.9999999949504854e-06	9.999999974752427e-07
4.9999999873762135e-06	1.9999999949504854e-06	1.9999999949504854e-06	3.999999989900971e-06	2.999999992425728e-06
1.9999999949504854e-06	1.9999999949504854e-06	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07
1.9999999949504854e-06	1.9999999949504854e-06	9.999999974752427e-07	9.999999974752427e-07	9.999999974752427e-07
9.999999974752427e-07	1.9999999949504854e-06	9.999999974752427e-07	9.999999974752427e-07	1.9999999949504854e-06
2.999999992425728e-06	1.9999999949504854e-06	1.9999999949504854e-06	9.999999974752427e-07	1.9999999949504854e-06
4.0000001035878086e-06	9.999999974752427e-07	2.999999992425728e-06	5.000000101063051e-06	1.9999999949504854e-06
